tiempo,Ti,To,Ti_CB,Ti_CI,Ti_CC
2019-06-08 00:00:00,25.3480564,,,,
2019-06-08 01:00:00,25.1000109,20.0,26.101197459602922,25.07782171707723,24.86980338767064
2019-06-08 02:00:00,24.7712064,19.7,25.695975876066928,24.46459304209969,24.26319509466145
2019-06-08 03:00:00,24.5566182,19.6,25.409724607884694,24.452178966519703,24.24892588354014
2019-06-08 04:00:00,24.1539769,18.9,24.951274946635518,23.787841496653765,23.613491693563752
2019-06-08 05:00:00,23.7109561,18.3,24.48434032240893,22.8512471894492,22.68867509168869
2019-06-08 06:00:00,23.2725501,17.8,24.09154137679829,22.057833825324288,21.92883924384244
2019-06-08 07:00:00,22.9022124,18.7,24.138673943723465,22.907513057851077,22.754429856200986
2019-06-08 08:00:00,22.9760492,22.0,24.823775309789518,24.08087032293848,23.89957694771493
2019-06-08 09:00:00,23.3290814,21.9,25.19965885566792,24.288119367643,24.089204828993736
2019-06-08 10:00:00,24.0097644,24.9,25.87826228772265,25.381662450626358,25.076367789025888
2019-06-08 11:00:00,24.9431077,26.6,26.794799923082252,26.438508210084137,26.08290838261177
2019-06-08 12:00:00,25.8752973,27.9,27.73607950919831,27.54873028477992,27.02712488090808
2019-06-08 13:00:00,26.8409442,29.4,28.6088889202005,28.464579623091137,27.85988239954566
2019-06-08 14:00:00,27.5170124,30.1,29.176696850393014,29.26791426595535,28.77978467816737
2019-06-08 15:00:00,28.1123216,30.5,29.654072841009828,29.825955397572,29.40801773398565
2019-06-08 16:00:00,28.576109,32.1,30.07583976325991,30.245868002997128,29.709969740247328
2019-06-08 17:00:00,28.8783784,31.7,30.52142324589311,30.91160957317389,30.52139059796934
2019-06-08 18:00:00,28.7653158,31.2,30.40919835184613,30.281316386853753,29.63739149761752
2019-06-08 19:00:00,28.5922608,28.5,30.132175095610954,29.84946624277669,29.3148627248297
2019-06-08 20:00:00,28.3130654,27.1,29.80926226523972,28.870470267722503,28.47512783458499
2019-06-08 21:00:00,28.1619307,26.7,29.546682542761094,28.570421641588922,28.20443810299839
2019-06-08 22:00:00,27.8538928,25.9,29.28010207674734,28.83267322022708,28.40409793911571
2019-06-08 23:00:00,27.428177500000004,24.7,28.916761109283513,28.013433815620928,27.6287816296312
2019-06-09 00:00:00,27.0289973,,,,
2019-06-09 01:00:00,26.6505837,23.7,28.151775139423734,26.755002622021106,26.488019957421304
2019-06-09 02:00:00,26.6528911,23.9,27.943293411153487,26.843283647504567,26.577192657902856
2019-06-09 03:00:00,26.45445470000001,23.2,27.614803050760464,26.983655399877016,26.690789532632788
2019-06-09 04:00:00,26.01489500000001,22.4,27.165925636384024,25.53803319688663,25.342560356830678
2019-06-09 05:00:00,25.5130355,21.9,26.88894046377448,25.670117408152624,25.445676959980418
2019-06-09 06:00:00,25.2719122,21.7,26.59277276796628,25.659129779226195,25.391840720877735
2019-06-09 07:00:00,25.130007100000004,22.8,26.697403400040997,26.00816077052209,25.777569695497732
2019-06-09 08:00:00,25.4080488,24.0,27.121415540143428,26.36808044262937,26.142389470495328
2019-06-09 09:00:00,25.8464548,28.1,27.783539214058948,27.53442699622645,27.265508771156913
2019-06-09 10:00:00,26.3287014,27.6,28.34307492669213,27.99919957754593,27.76112575478614
2019-06-09 11:00:00,26.960929,28.1,29.11285292824104,28.733523190503202,28.36646033123473
2019-06-09 12:00:00,27.8885038,29.8,30.022370278592625,29.74405061564741,29.31543545987071
2019-06-09 13:00:00,28.6303329,29.8,30.66581871196809,30.253597710923906,29.7988546357695
2019-06-09 14:00:00,29.1633423,31.1,31.22730078637003,31.034181330712556,30.66842009166094
2019-06-09 15:00:00,29.7113498,32.1,31.67317057815142,31.730950212470823,31.342024414023207
2019-06-09 16:00:00,30.1762909,31.9,31.99916086260138,31.935937633139527,31.42195616290153
2019-06-09 17:00:00,30.5016343,33.0,32.43461874557675,32.43823823508284,31.85973969662253
2019-06-09 18:00:00,30.7150688,32.0,32.724690127216704,32.60928350441862,32.07623196685943
2019-06-09 19:00:00,30.686226300000005,31.4,32.743752175723074,32.51506272171327,31.97655784523256
2019-06-09 20:00:00,30.25358880000001,29.1,32.18318701031661,30.92256888423648,30.599163031537657
2019-06-09 21:00:00,29.80018470000001,27.8,31.68280835828593,29.847441959897342,29.691182626137056
2019-06-09 22:00:00,29.4390766,28.0,31.471774594793143,30.04608285599789,29.747928905752783
2019-06-09 23:00:00,28.971828100000003,26.9,31.074068543419642,29.70611862237628,29.3661340354842
2019-06-10 00:00:00,22.4753434,,,,
2019-06-10 01:00:00,22.4753434,,,,
2019-06-10 02:00:00,22.4753434,,,,
2019-06-10 03:00:00,22.4753434,,,,
2019-06-10 04:00:00,22.4753434,,,,
2019-06-10 05:00:00,22.4753434,,,,
2019-06-10 06:00:00,22.4753434,,,,
2019-06-10 07:00:00,22.4753434,,,,
2019-06-10 08:00:00,22.4753434,,,,
2019-06-10 09:00:00,22.4753434,,,,
2019-06-10 10:00:00,22.4753434,,,,
2019-06-10 11:00:00,22.4753434,,,,
2019-06-10 12:00:00,22.4753434,,,,
2019-06-10 13:00:00,22.4753434,,,,
2019-06-10 14:00:00,22.4753434,,,,
2019-06-10 15:00:00,22.4753434,,,,
2019-06-10 16:00:00,22.4753434,,,,
2019-06-10 17:00:00,22.4753434,,,,
2019-06-10 18:00:00,22.4753434,,,,
2019-06-10 19:00:00,22.4753434,,,,
2019-06-10 20:00:00,22.4753434,,,,
2019-06-10 21:00:00,22.4753434,,,,
2019-06-10 22:00:00,22.4753434,,,,
2019-06-10 23:00:00,22.4753434,,,,
2019-06-11 00:00:00,22.4753434,,,,
2019-06-11 01:00:00,22.4753434,,,,
2019-06-11 02:00:00,22.4753434,,,,
2019-06-11 03:00:00,22.4753434,,,,
2019-06-11 04:00:00,22.4753434,,,,
2019-06-11 05:00:00,22.4753434,,,,
2019-06-11 06:00:00,22.4753434,,,,
2019-06-11 07:00:00,22.4753434,,,,
2019-06-11 08:00:00,22.4753434,,,,
2019-06-11 09:00:00,22.4753434,,,,
2019-06-11 10:00:00,22.4753434,,,,
2019-06-11 11:00:00,22.4753434,,,,
2019-06-11 12:00:00,22.4753434,,,,
2019-06-11 13:00:00,22.4753434,,,,
2019-06-11 14:00:00,22.4753434,,,,
2019-06-11 15:00:00,22.4753434,,,,
2019-06-11 16:00:00,22.4753434,,,,
2019-06-11 17:00:00,22.4753434,,,,
2019-06-11 18:00:00,22.4753434,,,,
2019-06-11 19:00:00,22.4753434,,,,
2019-06-11 20:00:00,22.4753434,,,,
2019-06-11 21:00:00,22.4753434,,,,
2019-06-11 22:00:00,22.4753434,,,,
2019-06-11 23:00:00,22.4753434,,,,
2019-06-12 00:00:00,22.4753434,,,,
2019-06-12 01:00:00,22.4753434,,,,
2019-06-12 02:00:00,22.4753434,,,,
2019-06-12 03:00:00,22.4753434,,,,
2019-06-12 04:00:00,22.4753434,,,,
2019-06-12 05:00:00,22.4753434,,,,
2019-06-12 06:00:00,22.4753434,,,,
2019-06-12 07:00:00,22.4753434,,,,
2019-06-12 08:00:00,22.4753434,,,,
2019-06-12 09:00:00,22.4753434,,,,
2019-06-12 10:00:00,22.4753434,,,,
2019-06-12 11:00:00,22.4753434,,,,
2019-06-12 12:00:00,22.4753434,,,,
2019-06-12 13:00:00,22.4753434,,,,
2019-06-12 14:00:00,22.4753434,,,,
2019-06-12 15:00:00,22.4753434,,,,
2019-06-12 16:00:00,22.4753434,,,,
2019-06-12 17:00:00,22.4753434,,,,
2019-06-12 18:00:00,22.4753434,,,,
2019-06-12 19:00:00,22.4753434,,,,
2019-06-12 20:00:00,22.4753434,,,,
2019-06-12 21:00:00,22.4753434,,,,
2019-06-12 22:00:00,22.4753434,,,,
2019-06-12 23:00:00,22.4753434,,,,
2019-06-13 00:00:00,22.4753434,,,,
2019-06-13 01:00:00,22.4753434,,,,
2019-06-13 02:00:00,22.4753434,,,,
2019-06-13 03:00:00,22.4753434,,,,
2019-06-13 04:00:00,22.4753434,,,,
2019-06-13 05:00:00,22.4753434,,,,
2019-06-13 06:00:00,22.4753434,,,,
2019-06-13 07:00:00,22.4753434,,,,
2019-06-13 08:00:00,22.4753434,,,,
2019-06-13 09:00:00,22.4753434,,,,
2019-06-13 10:00:00,22.4753434,,,,
2019-06-13 11:00:00,22.4753434,,,,
