tiempo,Ti_CB,Ti_CA,Ti_CI01,Ti_CI03,To,Ti_Ccomb,Ti
08/06/2019 00:40,26.20423971,25.91003538,24.22157497,25.24427236,20,25.00231351,25.1876921
08/06/2019 00:50,26.15077215,25.85701938,23.85036839,25.09700772,20,24.89560471,25.1473126
08/06/2019 01:00,26.10119746,25.80767577,23.95496503,25.07782172,20,24.86980339,25.1000109
08/06/2019 01:10,26.05225993,25.75992401,24.05425506,25.09365392,20,24.86622687,25.0630925
08/06/2019 01:20,25.99711482,25.70685446,23.89429701,25.02592878,20,24.79725871,25.0100223
08/06/2019 01:30,25.93856047,25.650715,23.8709754,24.9508479,20,24.72610952,24.9546447
08/06/2019 01:40,25.87546025,25.59035815,23.98076579,24.90335083,20,24.68137548,24.8681172
08/06/2019 01:50,25.79447605,25.51260625,23.58334744,24.8160869,19.8,24.59834105,24.7954341
08/06/2019 02:00,25.69597588,25.41794754,22.92549558,24.46459304,19.7,24.26319509,24.7712064
08/06/2019 02:10,25.60775056,25.33287044,22.76813277,24.20403957,19.6,24.00819683,24.7123677
08/06/2019 02:20,25.53811944,25.26561484,22.70209022,24.14865983,19.4,23.95711331,24.7077529
08/06/2019 02:30,25.50944949,25.23780943,23.28141137,24.37581794,19.5,24.17423197,24.6662197
08/06/2019 02:40,25.50341047,25.23195343,23.57558246,24.55406506,19.6,24.34437295,24.6362235
08/06/2019 02:50,25.45971327,25.19013881,23.49895734,24.52726347,19.5,24.32013896,24.6050736
08/06/2019 03:00,25.40972461,25.14237988,23.40641547,24.45217897,19.6,24.24892588,24.5566182
08/06/2019 03:10,25.33441471,25.07028302,22.92799942,24.2402966,19.6,24.047781,24.4735518
08/06/2019 03:20,25.29153158,25.0292399,22.9510417,24.3104051,19.5,24.11140864,24.4077909
08/06/2019 03:30,25.16853907,24.91026805,22.40305357,23.9484965,19.2,23.74584644,24.3754873
08/06/2019 03:40,25.0778147,24.82266394,22.89633052,23.93270433,19.2,23.64746331,24.3247245
08/06/2019 03:50,25.0185753,24.76552126,22.84771824,23.97714485,19.1,23.74593829,24.2670395
08/06/2019 04:00,24.95127495,24.70071891,22.28983071,23.7878415,18.9,23.61349169,24.1539769
08/06/2019 04:10,24.8470985,24.6005311,21.68138244,23.38151064,18.7,23.21145472,24.0628346
08/06/2019 04:20,24.7239567,24.48141658,21.29813505,22.91628932,18.4,22.75852966,23.9797682
08/06/2019 04:30,24.71179001,24.42005562,21.43026643,23.06743356,18.4,22.9070433,23.8620908
08/06/2019 04:40,24.66690313,24.38099619,21.54212058,23.20400922,18.3,23.04314081,23.8067132
08/06/2019 04:50,24.57055689,24.31722154,21.25990361,23.00738753,18.3,22.84726692,23.7605652
08/06/2019 05:00,24.48434032,24.25154264,21.14020431,22.85124719,18.3,22.68867509,23.7109561
08/06/2019 05:10,24.45284183,24.21708091,21.04077455,22.75875209,18.4,22.6050422,23.6463489
08/06/2019 05:20,24.36741882,24.13576707,21.03616939,22.71435046,18.1,22.5649783,23.5448233
08/06/2019 05:30,24.30457743,24.07563013,21.20550054,22.80982948,18.1,22.65279175,23.4756013
08/06/2019 05:40,24.27906979,24.05131092,21.04890624,22.70364476,18.3,22.55175983,23.4513736
08/06/2019 05:50,24.17263222,23.94898168,20.39471558,22.23836202,18,22.09760636,23.3533091
08/06/2019 06:00,24.09154138,23.87042733,20.19810134,22.05783383,17.8,21.92883924,23.2725501
08/06/2019 06:10,24.03696763,23.81718461,20.35933816,22.12723615,17.8,21.99035197,23.2160188
08/06/2019 06:20,23.95720643,23.73973778,20.28060911,22.05171835,17.8,21.91335894,23.153719
08/06/2019 06:30,23.94028504,23.72424707,20.40800325,22.10960542,18,21.97225113,23.0683452
08/06/2019 06:40,24.01544067,23.79877264,20.61782934,22.27738588,18.1,22.13755635,23.0129676
08/06/2019 06:50,24.14373513,23.92469608,21.31216125,22.7062128,18.6,22.55030518,22.9679733
08/06/2019 07:00,24.13867394,23.92012909,21.21436648,22.90751306,18.7,22.75442986,22.9022124
08/06/2019 07:10,24.21237225,23.99274431,21.56009196,22.99832452,18.5,22.85061339,22.9252864
08/06/2019 07:20,24.35834481,24.1353698,22.09777494,23.27594222,18.9,23.12132009,22.8849069
08/06/2019 07:30,24.47632267,24.25078156,22.47970591,23.49614373,20,23.32940899,22.899905
08/06/2019 07:40,24.60329505,24.37371582,22.71821091,23.74263341,20,23.5691735,22.9495141
08/06/2019 07:50,24.73392722,24.4992653,23.01814339,23.94576334,20.9,23.76856562,22.9875862
08/06/2019 08:00,24.82377531,24.58657523,23.29039414,24.08087032,22,23.89957695,22.9760492
08/06/2019 08:10,24.9573213,24.7158789,23.63433768,24.28094464,22.8,24.0905732,23.0025843
08/06/2019 08:20,24.92435812,24.68196952,23.01879843,23.98707809,21.2,23.80629601,23.0971877
08/06/2019 08:30,24.91554971,24.66969524,22.60988228,23.78507134,21,23.62287999,23.1202617
08/06/2019 08:40,25.01264358,24.76110497,22.90613064,24.03289137,21.7,23.85479114,23.1202617
08/06/2019 08:50,25.10663505,24.8491618,23.04087705,24.10148796,21.8,23.92092361,23.1502579
08/06/2019 09:00,25.19965886,24.93537908,23.32591525,24.28811937,21.9,24.08920483,23.3290814
08/06/2019 09:10,25.28928018,25.02272796,23.60862708,24.4858787,22.5,24.26776278,23.3625387
08/06/2019 09:20,25.39854225,25.12682366,23.86945827,24.70299524,23.2,24.47500616,23.3510017
08/06/2019 09:30,25.497095,25.209352,24.33154545,24.85414422,23.9,24.61425989,23.53444
08/06/2019 09:40,25.61669156,25.30273047,24.57247415,25.03671579,23.5,24.76967209,23.742106
08/06/2019 09:50,25.75572873,25.41529145,24.62752561,25.18073572,24,24.89820021,23.7478745
08/06/2019 10:00,25.87826229,25.51800933,24.93606119,25.38166245,24.9,25.07636779,24.0097644
08/06/2019 10:10,26.00300132,25.6233999,25.20116864,25.55990288,25.5,25.23940825,24.2058934
08/06/2019 10:20,26.22147822,25.77030999,25.48556418,25.82232146,25.4,25.47092084,24.3385689
08/06/2019 10:30,26.38733827,25.88286819,25.77318833,26.01128172,26,25.67163879,24.4170205
08/06/2019 10:40,26.49098105,26.0276936,25.64890404,26.04074754,25,25.68413197,24.5946903
08/06/2019 10:50,26.60539144,26.12180259,25.76259571,26.11843486,25.8,25.75601827,24.7908193
08/06/2019 11:00,26.79479992,26.28567857,26.32202545,26.43850821,26.6,26.08290838,24.9431077
08/06/2019 11:10,26.92243061,26.45932848,26.60161505,26.71366482,26.9,26.30374385,25.1253923
08/06/2019 11:20,27.10481888,26.61159445,26.79981273,26.92370653,27.2,26.46235525,25.2142272
08/06/2019 11:30,27.26390914,26.72149489,26.96193745,27.06589892,27.9,26.56264895,25.4865004
08/06/2019 11:40,27.40041395,26.83396133,27.32374928,27.27804465,28.1,26.78866521,25.5891797
08/06/2019 11:50,27.55327313,26.9555851,27.39432258,27.40681953,28.1,26.89328769,25.7333922
08/06/2019 12:00,27.73607951,27.09755235,27.47071315,27.54873028,27.9,27.02712488,25.8752973
08/06/2019 12:10,27.82886908,27.17482522,27.57123171,27.63908272,27.8,27.13945354,26.0864244
08/06/2019 12:20,28.0579203,27.3115248,27.86863336,27.88967666,28.6,27.25691421,26.1867963
08/06/2019 12:30,28.23526308,27.44094598,28.3490447,28.2088443,28.8,27.64859458,26.3448532
08/06/2019 12:40,28.36008314,27.58758066,28.29804189,28.2798238,28.7,27.72544593,26.603282
08/06/2019 12:50,28.47674234,27.73302957,28.19551094,28.29994495,29,27.69758235,26.718652
08/06/2019 13:00,28.60888892,27.87580906,28.47561741,28.46457962,29.4,27.8598824,26.8409442
08/06/2019 13:10,28.74656541,28.01392015,28.89138211,28.74206134,29.7,28.15102524,26.9678512
08/06/2019 13:20,28.78902895,28.06581961,28.91839048,28.79217764,29.3,28.2979723,27.0924508
08/06/2019 13:30,28.87155434,28.12966359,28.91482709,28.83167316,29.4,28.2973329,27.1628265
08/06/2019 13:40,28.99593045,28.246497,29.13413504,28.98612472,29.8,28.4400681,27.3658777
08/06/2019 13:50,29.07028902,28.32744383,29.34909759,29.13667585,29.9,28.63503528,27.3578018
08/06/2019 14:00,29.17669685,28.43921694,29.48319695,29.26791427,30.1,28.77978468,27.5170124
08/06/2019 14:10,29.2177687,28.46835644,29.11811212,29.14140346,29.6,28.56189955,27.6785304
08/06/2019 14:20,29.25591019,28.50321924,29.036981,29.11794517,29.1,28.57402885,27.7119877
08/06/2019 14:30,29.34519522,28.61943717,29.39818068,29.29942625,30,28.75452532,27.8665835
08/06/2019 14:40,29.47431549,28.75673082,29.72442507,29.5524726,30.5,29.02184019,27.9923368
08/06/2019 14:50,29.5746593,28.8564753,29.8667674,29.70408455,30.2,29.24816691,27.9946442
08/06/2019 15:00,29.65407284,28.9365286,30.04371179,29.8259554,30.5,29.40801773,28.1123216
08/06/2019 15:10,29.73134507,29.00715007,29.96088112,29.7956056,31.3,29.26518375,28.2392286
08/06/2019 15:20,29.81617167,29.09869565,30.5090588,30.07584986,31.4,29.59986919,28.2865303
08/06/2019 15:30,29.87717363,29.15747416,30.30219981,30.02598145,31.2,29.50728426,28.3661356
08/06/2019 15:40,29.94203743,29.22522574,30.51721252,30.17157717,31.2,29.69452229,28.3972855
08/06/2019 15:50,29.99016772,29.26667847,30.23644419,30.06300474,31.2,29.49096666,28.5149629
08/06/2019 16:00,30.07583976,29.36015326,30.61679512,30.245868,32.1,29.70996974,28.576109
08/06/2019 16:10,30.1357385,29.42377654,30.74598088,30.35045616,31.8,29.83223199,28.6487921
08/06/2019 16:20,30.22029614,29.51303232,30.85125898,30.4685794,31.7,29.97228161,28.6960938
08/06/2019 16:30,30.31548392,29.61286937,30.93086297,30.57031514,31.7,30.09519122,28.7041697
08/06/2019 16:40,30.33072921,29.62700787,30.84084941,30.52029449,31.8,30.02276202,28.772238
08/06/2019 16:50,30.43085439,29.75901417,31.27325522,30.74903448,32.3,30.31513113,28.8149249
08/06/2019 17:00,30.52142325,29.85152508,31.31241034,30.91160957,31.7,30.5213906,28.8783784
08/06/2019 17:10,30.50521116,29.78868353,30.88047248,30.715176,31.4,30.19025912,28.8506896
08/06/2019 17:20,30.43159311,29.71519864,30.62149864,30.48766989,31.2,29.98226044,28.9026061
08/06/2019 17:30,30.43378937,29.74177693,30.53930564,30.42322385,30.9,29.96685056,28.8910691
08/06/2019 17:40,30.47115129,29.7891783,30.4212678,30.40249147,30.7,29.88073834,28.9418319
08/06/2019 17:50,30.44267588,29.76021792,30.26780444,30.33198456,30.8,29.7256999,28.9129894
08/06/2019 18:00,30.40919835,29.72514252,30.18956754,30.28131639,31.2,29.6373915,28.7653158
08/06/2019 18:10,30.44216222,29.76580813,30.42738381,30.37635594,31.4,29.77387823,28.8541507
08/06/2019 18:20,30.41022329,29.73702193,30.26221778,30.30237584,30.6,29.68813939,28.6464847
08/06/2019 18:30,30.33096641,29.6696025,30.04026634,30.16662856,30,29.60030097,28.6280255
08/06/2019 18:40,30.26116303,29.60910007,29.89745164,30.0815771,29.2,29.51142465,28.599183
08/06/2019 18:50,30.19839331,29.55647412,29.70619671,29.97041937,29.1,29.42125463,28.5818775
08/06/2019 19:00,30.1321751,29.4995284,29.49660612,29.84946624,28.5,29.31486272,28.5922608
08/06/2019 19:10,30.05680408,29.43419144,28.83131915,29.51458435,27.7,29.04542747,28.4572779
08/06/2019 19:20,29.9537818,29.34585909,28.36131422,29.03824331,27.4,28.64879734,28.5564961
08/06/2019 19:30,29.97780074,29.36639414,28.7951815,29.31515967,28,28.85736245,28.5034259
08/06/2019 19:40,29.96944834,29.36238238,28.84731268,29.43600193,27.8,28.96711565,28.4042077
08/06/2019 19:50,29.89751517,29.30144915,28.40239197,29.16477628,27.3,28.74695405,28.3753652
08/06/2019 20:00,29.80926227,29.22609503,28.04194232,28.87047027,27.1,28.47512783,28.3130654
08/06/2019 20:10,29.78771952,29.20752368,28.51596356,29.08187574,27.4,28.62951705,28.2669174
08/06/2019 20:20,29.7925706,29.21357943,28.74592897,29.28305986,27.5,28.81660203,28.2438434
08/06/2019 20:30,29.75915734,29.19148547,28.26443775,29.06153946,27.4,28.66873746,28.2046176
08/06/2019 20:40,29.67238032,29.11733027,27.70117033,28.61294422,26.8,28.27365157,28.1423178
08/06/2019 20:50,29.5911814,29.04577611,27.6019477,28.46042959,26.7,28.12226164,28.2265379
08/06/2019 21:00,29.54668254,29.00641107,27.76364192,28.57042164,26.7,28.2044381,28.1619307
08/06/2019 21:10,29.47754358,28.94249392,27.53692071,28.50945714,26,28.13058299,28.1469326
08/06/2019 21:20,29.41415782,28.85891195,27.27192828,28.33951134,25.7,27.94641233,28.0004127
08/06/2019 21:30,29.35286268,28.83148324,27.04400084,28.05129598,26.1,27.83099174,28.0834791
08/06/2019 21:40,29.31688911,28.8251418,27.23207888,28.11260412,26.2,27.91013561,27.9185
08/06/2019 21:50,29.30395182,28.80971172,27.94780538,28.55560355,26.1,28.21627844,27.849278
08/06/2019 22:00,29.28010208,28.77386025,28.0967381,28.83267322,25.9,28.40409794,27.8538928
08/06/2019 22:10,29.24262233,28.7367271,28.20205161,28.86645814,26.1,28.40767746,27.7442913
08/06/2019 22:20,29.18763168,28.69050142,27.94746645,28.6625974,25.9,28.24604233,27.7812097
08/06/2019 22:30,29.1181062,28.6544416,27.86638502,28.53420205,25.8,28.13278309,27.6635323
08/06/2019 22:40,29.04831625,28.59226922,27.51289582,28.35292074,25.5,27.97053241,27.560853
08/06/2019 22:50,28.99212183,28.50192013,26.97930688,28.11111976,25.2,27.7003438,27.5066291
08/06/2019 23:00,28.91676111,28.43977064,26.82679274,28.01343382,24.7,27.62878163,27.4281775
08/06/2019 23:10,28.82258518,28.36162266,26.72680432,27.87173044,24.6,27.5218082,27.3462648
08/06/2019 23:20,28.77006239,28.31312758,27.23215063,28.06732226,24.8,27.68981984,27.4166405
08/06/2019 23:30,28.74449176,28.28669133,27.62025911,28.23693577,24.8,27.84741057,27.2885798
08/06/2019 23:40,28.70026903,28.24428512,27.60202618,28.22777352,24.5,27.84767433,27.2228189
08/06/2019 23:50,28.63708599,28.18450018,27.3985651,28.09652154,24.2,27.72943427,27.1132174
08/06/2019 23:59,28.56037997,28.11231183,27.25672395,27.96562975,24,27.6060316,
09/06/2019 00:00,,,,,,,27.0289973
09/06/2019 00:10,28.49599866,28.05166881,27.17204145,27.88419161,23.6,27.52739183,26.9009366
