Date/Time,JORGE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),JORGE:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),JORGE&OTRO:Zone Thermal Comfort Fanger Model PMV [](TimeStep),JORGE&OTRO:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 06/04  18:40:00,-2.228336624,85.91400366,-2.228336624,85.91400366
 06/04  18:50:00,-2.351021029,89.77227937,-2.351021029,89.77227937
 06/04  19:00:00,-2.449795623,92.32116918,-2.449795623,92.32116918
 06/04  19:10:00,-2.502917563,93.49265917,-2.502917563,93.49265917
 06/04  19:20:00,-2.499784751,93.42731915,-2.499784751,93.42731915
 06/04  19:30:00,-2.813095439,97.92542683,-2.813095439,97.92542683
 06/04  19:40:00,-3.218682112,99.72808088,-3.218682112,99.72808088
 06/04  19:50:00,-3.339223514,99.87057335,-3.339223514,99.87057335
 06/04  20:00:00,-3.166346606,99.63249742,-3.166346606,99.63249742
 06/04  20:10:00,-3.190944397,99.68051801,-3.190944397,99.68051801
 06/04  20:20:00,-3.178679587,99.65729775,-3.178679587,99.65729775
 06/04  20:30:00,-3.111137397,99.50168461,-3.111137397,99.50168461
 06/04  20:40:00,-3.161819182,99.623014,-3.161819182,99.623014
 06/04  20:50:00,-3.385234989,99.90430834,-3.385234989,99.90430834
 06/04  21:00:00,-3.486568851,99.9526295,-3.486568851,99.9526295
 06/04  21:10:00,-3.430105326,99.92944805,-3.430105326,99.92944805
 06/04  21:20:00,-3.520496827,99.96301539,-3.520496827,99.96301539
 06/04  21:30:00,-3.515982352,99.96176345,-3.515982352,99.96176345
 06/04  21:40:00,-3.437381171,99.93291544,-3.437381171,99.93291544
 06/04  21:50:00,-3.346333555,99.87638933,-3.346333555,99.87638933
 06/04  22:00:00,-3.317141617,99.85094347,-3.317141617,99.85094347
 06/04  22:10:00,-3.328134658,99.86102077,-3.328134658,99.86102077
 06/04  22:20:00,-3.349176662,99.87864963,-3.349176662,99.87864963
 06/04  22:30:00,-3.377630771,99.89933792,-3.377630771,99.89933792
 06/04  22:40:00,-3.396611053,99.91133808,-3.396611053,99.91133808
 06/04  22:50:00,-3.403887226,99.91559016,-3.403887226,99.91559016
 06/04  23:00:00,-3.416121851,99.9223325,-3.416121851,99.9223325
 06/04  23:10:00,-3.494076038,99.95513004,-3.494076038,99.95513004
 06/04  23:20:00,-3.565227201,99.97356616,-3.565227201,99.97356616
 06/04  23:30:00,-3.568468964,99.97421286,-3.568468964,99.97421286
 06/04  23:40:00,-3.57777486,99.97599054,-3.57777486,99.97599054
 06/04  23:50:00,-3.604734273,99.98053184,-3.604734273,99.98053184
 06/04  24:00:00,-3.630754648,99.98416042,-3.630754648,99.98416042
 06/05  00:10:00,-3.707240265,99.99155562,-3.707240265,99.99155562
 06/05  00:20:00,-3.749053928,99.99409996,-3.749053928,99.99409996
 06/05  00:30:00,-3.734825422,99.99332646,-3.734825422,99.99332646
 06/05  00:40:00,-3.724671049,99.99271864,-3.724671049,99.99271864
 06/05  00:50:00,-3.724002938,99.99267692,-3.724002938,99.99267692
 06/05  01:00:00,-3.734070029,99.9932829,-3.734070029,99.9932829
 06/05  01:10:00,-3.752141729,99.99425653,-3.752141729,99.99425653
 06/05  01:20:00,-3.772540274,99.99519857,-3.772540274,99.99519857
 06/05  01:30:00,-3.798883102,99.99620471,-3.798883102,99.99620471
 06/05  01:40:00,-3.826343639,99.99704346,-3.826343639,99.99704346
 06/05  01:50:00,-3.838594695,99.99735925,-3.838594695,99.99735925
 06/05  02:00:00,-3.845750869,99.99752895,-3.845750869,99.99752895
 06/05  02:10:00,-3.863588511,99.99790897,-3.863588511,99.99790897
 06/05  02:20:00,-3.880226233,99.99821387,-3.880226233,99.99821387
 06/05  02:30:00,-3.893012943,99.99841955,-3.893012943,99.99841955
 06/05  02:40:00,-3.915822958,99.99873281,-3.915822958,99.99873281
 06/05  02:50:00,-3.958466911,99.99916925,-3.958466911,99.99916925
 06/05  03:00:00,-3.983084135,99.99935257,-3.983084135,99.99935257
 06/05  03:10:00,-3.990192293,99.999398,-3.990192293,99.999398
 06/05  03:20:00,-3.996919597,99.99943823,-3.996919597,99.99943823
 06/05  03:30:00,-4.002722682,99.99947091,-4.002722682,99.99947091
 06/05  03:40:00,-4.013555101,99.99952719,-4.013555101,99.99952719
 06/05  03:50:00,-4.022277629,99.99956838,-4.022277629,99.99956838
 06/05  04:00:00,-4.038096354,99.99963464,-4.038096354,99.99963464
 06/05  04:10:00,-4.055800981,99.99969745,-4.055800981,99.99969745
 06/05  04:20:00,-4.073597815,99.99975025,-4.073597815,99.99975025
 06/05  04:30:00,-4.087776183,99.99978599,-4.087776183,99.99978599
 06/05  04:40:00,-4.107606623,99.99982798,-4.107606623,99.99982798
 06/05  04:50:00,-4.126846148,99.99986121,-4.126846148,99.99986121
 06/05  05:00:00,-4.146368517,99.99988868,-4.146368517,99.99988868
 06/05  05:10:00,-4.18070291,99.99992498,-4.18070291,99.99992498
 06/05  05:20:00,-4.228967115,99.99995756,-4.228967115,99.99995756
 06/05  05:30:00,-4.251845775,99.9999678,-4.251845775,99.9999678
 06/05  05:40:00,-4.256586462,99.99996961,-4.256586462,99.99996961
 06/05  05:50:00,-4.286742137,99.99997904,-4.286742137,99.99997904
 06/05  06:00:00,-4.394634516,99.99999477,-4.394634516,99.99999477
 06/05  06:10:00,-4.468987504,99.9999981,-4.468987504,99.9999981
 06/05  06:20:00,-4.445195785,99.99999736,-4.445195785,99.99999736
