tiempo,Ti_ex,Ti_CA
2019-06-08 00:00:00,25.348056399999997,
2019-06-08 00:00:20,25.354978600000006,
2019-06-08 00:00:40,25.359593399999998,
2019-06-08 00:01:00,25.348056399999997,
2019-06-08 00:01:20,25.3515175,
2019-06-08 00:01:40,25.3630545,
2019-06-08 00:02:00,25.322675,
2019-06-08 00:02:20,25.3515175,
2019-06-08 00:02:40,25.3330583,
2019-06-08 00:03:00,25.354978600000006,
2019-06-08 00:03:20,25.3515175,
2019-06-08 00:03:40,25.3330583,
2019-06-08 00:04:00,25.3330583,
2019-06-08 00:04:20,25.3445953,
2019-06-08 00:04:40,25.348056399999997,
2019-06-08 00:05:00,25.3295972,
2019-06-08 00:05:20,25.318060199999998,
2019-06-08 00:05:40,25.318060199999998,
2019-06-08 00:06:00,25.3330583,
2019-06-08 00:06:20,25.322675,
2019-06-08 00:06:40,25.3261361,
2019-06-08 00:07:00,25.3411342,
2019-06-08 00:07:20,25.3411342,
2019-06-08 00:07:40,25.3445953,
2019-06-08 00:08:00,25.3261361,
2019-06-08 00:08:20,25.322675,
2019-06-08 00:08:40,25.3330583,
2019-06-08 00:09:00,25.322675,
2019-06-08 00:09:20,25.3365194,
2019-06-08 00:09:40,25.3261361,
2019-06-08 00:10:00,25.311138,26.03601092119384
2019-06-08 00:10:20,25.318060199999998,
2019-06-08 00:10:40,25.348056399999997,
2019-06-08 00:11:00,25.322675,
2019-06-08 00:11:20,25.314599100000002,
2019-06-08 00:11:40,25.318060199999998,
2019-06-08 00:12:00,25.311138,
2019-06-08 00:12:20,25.311138,
2019-06-08 00:12:40,25.307676899999997,
2019-06-08 00:13:00,25.307676899999997,
2019-06-08 00:13:20,25.3295972,
2019-06-08 00:13:40,25.2926788,
2019-06-08 00:14:00,25.311138,
2019-06-08 00:14:20,25.307676899999997,
2019-06-08 00:14:40,25.314599100000002,
2019-06-08 00:15:00,25.307676899999997,
2019-06-08 00:15:20,25.2892177,
2019-06-08 00:15:40,25.318060199999998,
2019-06-08 00:16:00,25.311138,
2019-06-08 00:16:20,25.304215799999998,
2019-06-08 00:16:40,25.2926788,
2019-06-08 00:17:00,25.311138,
2019-06-08 00:17:20,25.2707585,
