tiempo,Ti_ex,To,Ti_CB
2019-06-08 00:00:00,25.348056399999997,,
2019-06-08 01:00:00,25.1000109,20.0,26.101197459602922
2019-06-08 02:00:00,24.771206399999997,19.7,25.695975876066928
2019-06-08 03:00:00,24.5566182,19.6,25.409724607884694
2019-06-08 04:00:00,24.153976899999996,18.9,24.951274946635518
2019-06-08 05:00:00,23.7109561,18.3,24.484340322408933
2019-06-08 06:00:00,23.2725501,17.8,24.09154137679829
2019-06-08 07:00:00,22.9022124,18.7,24.138673943723465
2019-06-08 08:00:00,22.9760492,22.0,24.823775309789518
2019-06-08 09:00:00,23.3290814,21.9,25.19965885566792
2019-06-08 10:00:00,24.009764399999998,24.9,25.87826228772265
2019-06-08 11:00:00,24.9431077,26.6,26.794799923082252
2019-06-08 12:00:00,25.8752973,27.9,27.73607950919831
2019-06-08 13:00:00,26.8409442,29.4,28.6088889202005
2019-06-08 14:00:00,27.517012400000002,30.1,29.176696850393014
2019-06-08 15:00:00,28.1123216,30.5,29.654072841009828
2019-06-08 16:00:00,28.576109000000002,32.1,30.075839763259907
2019-06-08 17:00:00,28.8783784,31.7,30.52142324589311
2019-06-08 18:00:00,28.7653158,31.2,30.40919835184613
2019-06-08 19:00:00,28.592260800000002,28.5,30.132175095610954
2019-06-08 20:00:00,28.3130654,27.1,29.809262265239717
2019-06-08 21:00:00,28.161930699999996,26.7,29.546682542761094
2019-06-08 22:00:00,27.8538928,25.9,29.28010207674734
2019-06-08 23:00:00,27.428177500000004,24.7,28.916761109283513
2019-06-09 00:00:00,27.0289973,,
2019-06-09 01:00:00,26.6505837,23.7,28.151775139423734
2019-06-09 02:00:00,26.6528911,23.9,27.943293411153487
2019-06-09 03:00:00,26.454454700000007,23.2,27.614803050760464
2019-06-09 04:00:00,26.014895000000006,22.4,27.165925636384024
2019-06-09 05:00:00,25.5130355,21.9,26.88894046377448
2019-06-09 06:00:00,25.2719122,21.7,26.59277276796628
2019-06-09 07:00:00,25.130007100000004,22.8,26.697403400040997
2019-06-09 08:00:00,25.4080488,24.0,27.121415540143428
2019-06-09 09:00:00,25.8464548,28.1,27.783539214058948
2019-06-09 10:00:00,26.328701399999996,27.6,28.34307492669213
2019-06-09 11:00:00,26.960928999999997,28.1,29.11285292824104
2019-06-09 12:00:00,27.8885038,29.8,30.022370278592625
2019-06-09 13:00:00,28.630332899999996,29.8,30.66581871196809
2019-06-09 14:00:00,29.1633423,31.1,31.22730078637003
2019-06-09 15:00:00,29.7113498,32.1,31.67317057815142
2019-06-09 16:00:00,30.176290899999998,31.9,31.99916086260138
2019-06-09 17:00:00,30.5016343,33.0,32.43461874557675
2019-06-09 18:00:00,30.7150688,32.0,32.724690127216704
2019-06-09 19:00:00,30.686226300000005,31.4,32.743752175723074
2019-06-09 20:00:00,30.253588800000006,29.1,32.183187010316615
2019-06-09 21:00:00,29.800184700000006,27.8,31.68280835828593
2019-06-09 22:00:00,29.4390766,28.0,31.471774594793143
2019-06-09 23:00:00,28.971828100000003,26.9,31.074068543419642
2019-06-10 00:00:00,22.475343399999996,,
2019-06-10 01:00:00,22.475343399999996,,
2019-06-10 02:00:00,22.475343399999996,,
2019-06-10 03:00:00,22.475343399999996,,
2019-06-10 04:00:00,22.475343399999996,,
2019-06-10 05:00:00,22.475343399999996,,
2019-06-10 06:00:00,22.475343399999996,,
2019-06-10 07:00:00,22.475343399999996,,
2019-06-10 08:00:00,22.475343399999996,,
2019-06-10 09:00:00,22.475343399999996,,
2019-06-10 10:00:00,22.475343399999996,,
2019-06-10 11:00:00,22.475343399999996,,
2019-06-10 12:00:00,22.475343399999996,,
2019-06-10 13:00:00,22.475343399999996,,
2019-06-10 14:00:00,22.475343399999996,,
2019-06-10 15:00:00,22.475343399999996,,
2019-06-10 16:00:00,22.475343399999996,,
2019-06-10 17:00:00,22.475343399999996,,
2019-06-10 18:00:00,22.475343399999996,,
2019-06-10 19:00:00,22.475343399999996,,
2019-06-10 20:00:00,22.475343399999996,,
2019-06-10 21:00:00,22.475343399999996,,
2019-06-10 22:00:00,22.475343399999996,,
2019-06-10 23:00:00,22.475343399999996,,
2019-06-11 00:00:00,22.475343399999996,,
2019-06-11 01:00:00,22.475343399999996,,
2019-06-11 02:00:00,22.475343399999996,,
2019-06-11 03:00:00,22.475343399999996,,
2019-06-11 04:00:00,22.475343399999996,,
2019-06-11 05:00:00,22.475343399999996,,
2019-06-11 06:00:00,22.475343399999996,,
2019-06-11 07:00:00,22.475343399999996,,
2019-06-11 08:00:00,22.475343399999996,,
2019-06-11 09:00:00,22.475343399999996,,
2019-06-11 10:00:00,22.475343399999996,,
2019-06-11 11:00:00,22.475343399999996,,
2019-06-11 12:00:00,22.475343399999996,,
2019-06-11 13:00:00,22.475343399999996,,
2019-06-11 14:00:00,22.475343399999996,,
2019-06-11 15:00:00,22.475343399999996,,
2019-06-11 16:00:00,22.475343399999996,,
2019-06-11 17:00:00,22.475343399999996,,
2019-06-11 18:00:00,22.475343399999996,,
2019-06-11 19:00:00,22.475343399999996,,
2019-06-11 20:00:00,22.475343399999996,,
2019-06-11 21:00:00,22.475343399999996,,
2019-06-11 22:00:00,22.475343399999996,,
2019-06-11 23:00:00,22.475343399999996,,
2019-06-12 00:00:00,22.475343399999996,,
2019-06-12 01:00:00,22.475343399999996,,
2019-06-12 02:00:00,22.475343399999996,,
2019-06-12 03:00:00,22.475343399999996,,
2019-06-12 04:00:00,22.475343399999996,,
2019-06-12 05:00:00,22.475343399999996,,
2019-06-12 06:00:00,22.475343399999996,,
