Date/Time,THERMAL ZONE: CUBI_1:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: CUBI_2:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: CUBI_JORGE:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_1:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_2:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE: TECHO_JORGE:Zone Mean Air Temperature [C](TimeStep) 
 05/03  00:10:00,28.31649623739593,28.324718310668965,26.167789078574516,27.23717470318729,27.181316199245214,25.509174402298866 
 05/03  00:20:00,28.275187795294856,28.267224047998228,26.57489772660379,27.211019537938506,27.149971151791424,26.010940270462898 
 05/03  00:30:00,28.244427719519977,28.223473923432917,26.847834902217828,27.181647241158136,27.114970463418964,25.581869019326907 
 05/03  00:40:00,28.18530872699261,28.14442806419844,26.582855493894884,27.144095045526837,27.070819528701546,25.685098077922399 
 05/03  00:50:00,28.127336375334719,28.063154693558393,26.49274030757551,27.10351063441277,27.022807589731536,25.387774407970857 
 05/03  01:00:00,28.082113194741227,27.995795793353243,26.304187853575475,27.0642529413471,26.97619021542499,25.664993904362249 
 05/03  01:10:00,28.06057080675736,27.967782011924457,25.88195027411942,27.028022521584228,26.933642849771596,25.59685325790125 
 05/03  01:20:00,28.046697729477097,27.940343809241626,26.634991920758137,26.98450423690725,26.883558294540319,24.909516356884688 
 05/03  01:30:00,28.01075447616758,27.88612611155629,26.887877636776869,26.934704157006018,26.82751882484211,24.974826074354128 
 05/03  01:40:00,27.974950915733964,27.8320021063466,26.89042980805246,26.882102285356426,26.769487561757324,24.95689158924872 
 05/03  01:50:00,27.956041635553516,27.80797058054072,26.50558778953954,26.840190454972448,26.722109237955576,25.223738937269159 
 05/03  02:00:00,27.906790361857838,27.743105269915899,26.293913106551419,26.7858745168628,26.661188635620474,24.95962377458485 
 05/03  02:10:00,27.85702282327226,27.679073603677784,26.287195749578893,26.736047233563658,26.604970224638199,24.77684848991063 
 05/03  02:20:00,27.814152799158547,27.625830967564004,26.283769376231445,26.686516540762935,26.548960936476289,24.677082532517717 
 05/03  02:30:00,27.790531448691348,27.599058657812046,25.851996240780175,26.643081645124164,26.499763622723458,24.999435436789029 
 05/03  02:40:00,27.74307031022719,27.53790907710165,26.006684339090307,26.58875394019615,26.438734318050849,24.52812894510943 
 05/03  02:50:00,27.71062225728306,27.498147348110704,25.428911582327407,26.541920437243215,26.385801918844686,25.18608479035999 
 05/03  03:00:00,27.677726960891634,27.455587780866055,25.592868975303927,26.49307599587643,26.330825140477989,24.462879524183696 
 05/03  03:10:00,27.635439731171475,27.40260475417278,25.11581436634645,26.44193968307733,26.273494134763948,25.148540618205347 
 05/03  03:20:00,27.600890354565516,27.357263561696717,24.954258241676397,26.390295581007224,26.21567156299153,25.39001867584345 
 05/03  03:30:00,27.555528251054804,27.299312870464346,24.912668441393835,26.337285679927239,26.156620579148759,24.64827383936567 
 05/03  03:40:00,27.510908088766926,27.24308927073895,24.612300253531808,26.283781512916648,26.097137226857656,25.19658121449458 
 05/03  03:50:00,27.45916683500691,27.178261147913135,24.555024221332944,26.228976207871395,26.036511892689956,24.446019659792 
 05/03  04:00:00,27.39806111389182,27.10022107834409,24.302512264852525,26.170171397319405,25.9716709498525,24.56693795726547 
 05/03  04:10:00,27.359353216723549,27.050974795756454,24.224256157795979,26.113090691192963,25.908850912442668,24.86083589552542 
 05/03  04:20:00,27.301432933768056,26.97887343948154,23.950020956443067,26.0561395102272,25.84643596641782,24.58824451149082 
 05/03  04:30:00,27.273345925157537,26.939099437878153,24.307207884491814,25.99545271757569,25.78002204050032,24.07133440834178 
